Lx  lambda  chemical  theta  bondD  Energy_GS  winding  eA  eB  MA  MB  U4  Oflip  Oflipp  charge
19  0.30  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  -0.000000  -10910522700086176246661120.000000  0.000000  -0.000000  -0.000000

19  -0.30  0.80  0.00  400  -32.305024  5.000000  5.434580  5.434580  0.257797  0.257797  0.938664  10.869160  0.000000  -0.000000

19  0.30  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  0.000000  0.000000  -270023721855014286907146240.000000  0.000000  -0.000000  0.000000

19  -0.30  0.90  0.00  400  -34.272146  17.000000  0.776369  0.776369  -0.294460  -0.294460  0.570651  1.552737  -0.000000  -0.000000

19  0.30  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -249692872343253401659768832.000000  0.000000  0.000000  -0.000000

19  -0.30  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -96063410167432547280093184.000000  0.000000  -0.000000  0.000000

19  0.30  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -423347941038369141535277056.000000  0.000000  0.000000  -0.000000

19  -0.40  0.00  0.00  400  -31.385610  -19.000000  13.105385  13.105385  5.593034  5.593034  0.974565  26.210770  0.000000  -0.000000


19  -0.40  0.10  0.00  400  -31.385611  -19.000000  13.105385  13.105385  -5.593034  -5.593034  0.974565  26.210770  -0.000000  0.000000

19  0.40  0.10  0.00  400  -10.243863  -3.000000  7.480104  7.480104  0.689512  0.689512  0.955437  14.960207  -0.000000  0.000000

19  -0.40  0.20  0.00  400  -31.385611  -19.000000  13.105385  13.105385  -5.593034  -5.593034  0.974565  26.210770  -0.000000  -0.000000

19  0.40  0.20  0.00  400  -11.415577  -1.000000  6.765111  6.765111  -0.262283  -0.262283  0.950728  13.530221  -0.000000  0.000000

19  -0.40  0.30  0.00  400  -31.385610  -19.000000  13.105385  13.105385  -5.593034  -5.593034  0.974565  26.210770  0.000000  0.000000

19  0.40  0.30  0.00  400  -12.769714  7.000000  4.289958  4.289958  0.313886  0.313886  0.922299  8.579916  -0.000000  -0.000000

19  -0.40  0.40  0.00  400  -29.363733  -11.000000  10.750383  10.750383  0.343920  0.343920  0.968993  21.500766  0.000000  0.000000

19  0.40  0.40  0.00  400  -15.256571  15.000000  1.429986  1.429986  -0.129198  -0.129198  0.766897  2.859972  0.000000  -0.000000

19  -0.40  0.50  0.00  400  -29.282857  -1.000000  7.850070  7.850070  0.099723  0.099723  0.957538  15.700140  0.000000  -0.000000

19  0.40  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -55926455227602070721789952.000000  0.000000  -0.000000  -0.000000

19  -0.40  0.60  0.00  400  -31.082857  -1.000000  7.850070  7.850070  0.434933  0.434933  0.957538  15.700140  -0.000000  0.000000

19  0.40  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  -0.000000  -836269563862867288526946304.000000  0.000000  0.000000  -0.000000

19  -0.40  0.70  0.00  400  -32.882857  -1.000000  7.850070  7.850070  0.940754  0.940754  0.957538  15.700140  -0.000000  0.000000

19  0.40  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  0.000000  -136753047193025532210970624.000000  0.000000  0.000000  0.000000

19  -0.40  0.80  0.00  400  -34.254571  1.000000  7.065063  7.065063  -1.517101  -1.517101  0.952819  14.130126  -0.000000  0.000000

19  0.40  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  0.000000  -8541298783615103377866752.000000  0.000000  0.000000  -0.000000

19  -0.40  0.90  0.00  400  -34.884857  13.000000  2.355021  2.355021  0.385502  0.385502  0.858458  4.710042  0.000000  -0.000000

19  0.40  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -245743517601699263183585280.000000  0.000000  -0.000000  0.000000

19  -0.40  1.00  0.00  400  -38.028286  17.000000  0.785007  0.785007  -0.087060  -0.087060  0.575375  1.570014  -0.000000  0.000000

19  0.40  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  0.000000  -907266931668140658234753024.000000  0.000000  0.000000  -0.000000

19  -0.50  0.00  0.00  400  -34.044163  -19.000000  13.486405  13.486405  -6.812361  -6.812361  0.975284  26.972810  0.000000  0.000000

19  0.50  0.00  0.00  400  -9.290564  -15.000000  9.901733  9.901733  0.088537  0.088537  0.966336  19.803466  0.000000  0.000000

19  -0.50  0.10  0.00  400  -34.044164  -19.000000  13.486405  13.486405  6.812361  6.812361  0.975284  26.972810  -0.000000  -0.000000

19  0.50  0.10  0.00  400  -8.466535  -1.000000  6.869771  6.869771  -0.072144  -0.072144  0.951478  13.739542  -0.000000  0.000000

19  -0.50  0.20  0.00  400  -34.044164  -19.000000  13.486405  13.486405  6.812361  6.812361  0.975284  26.972810  0.000000  -0.000000

19  0.50  0.20  0.00  400  -9.889125  3.000000  5.651845  5.651845  0.084113  0.084113  0.941022  11.303689  0.000000  0.000000

19  -0.50  0.30  0.00  400  -34.044163  -19.000000  13.486405  13.486405  6.812361  6.812361  0.975284  26.972810  -0.000000  -0.000000

19  0.50  0.30  0.00  400  -11.572281  15.000000  1.412961  1.412961  -0.139522  -0.139522  0.764089  2.825922  -0.000000  -0.000000

19  -0.50  0.40  0.00  400  -34.044164  -19.000000  13.486405  13.486405  -6.812361  -6.812361  0.975284  26.972810  -0.000000  0.000000

19  0.50  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -12969905856282484564557824.000000  0.000000  -0.000000  0.000000

19  -0.50  0.50  0.00  400  -30.861407  -1.000000  7.935194  7.935194  -0.333679  -0.333679  0.957993  15.870388  -0.000000  0.000000

19  0.50  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  0.000000  -75703820436025918739185664.000000  0.000000  0.000000  -0.000000

19  -0.50  0.60  0.00  400  -32.661407  -1.000000  7.935194  7.935194  -1.199707  -1.199707  0.957993  15.870388  -0.000000  -0.000000

19  0.50  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -10143804583704528794157056.000000  0.000000  -0.000000  0.000000

19  -0.50  0.70  0.00  400  -34.461407  -1.000000  7.935194  7.935194  -1.225924  -1.225924  0.957993  15.870388  0.000000  0.000000

19  0.50  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  0.000000  -272987058506836135645282304.000000  0.000000  0.000000  0.000000

19  -0.50  0.80  0.00  400  -35.744898  -1.000000  7.830754  7.830754  1.303757  1.303757  0.957433  15.661509  -0.000000  -0.000000

19  0.50  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  0.000000  -798835887329050320902815744.000000  0.000000  0.000000  -0.000000

19  -0.50  0.90  0.00  400  -36.902985  5.000000  5.554636  5.554636  -1.068263  -1.068263  0.939990  11.109272  0.000000  -0.000000

19  0.50  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -1183953859872248314854375424.000000  0.000000  -0.000000  -0.000000

19  -0.50  1.00  0.00  400  -38.372281  15.000000  1.587039  1.587039  -0.393219  -0.393219  0.789965  3.174078  -0.000000  -0.000000

19  0.50  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  0.000000  -1424096536147340701982523392.000000  0.000000  0.000000  0.000000

19  0.60  0.00  0.00  400  -5.710353  -3.000000  7.343163  7.343163  -0.056294  -0.056294  0.954606  14.686326  0.000000  -0.000000

19  0.60  0.10  0.00  400  -6.945399  -1.000000  6.588617  6.588617  0.491523  0.491523  0.949408  13.177235  -0.000000  0.000000

19  0.60  0.20  0.00  400  -7.891366  15.000000  1.396243  1.396243  0.021907  0.021907  0.761264  2.792486  0.000000  0.000000

19  0.60  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  0.000000  0.000000  -42756339103608455940800512.000000  0.000000  -0.000000  0.000000

19  0.60  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -360095265074974116076847104.000000  0.000000  -0.000000  0.000000

19  0.60  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  0.000000  0.000000  -30535953988094432645218304.000000  0.000000  -0.000000  0.000000

19  0.60  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -192076571102316578371272704.000000  0.000000  0.000000  -0.000000

19  0.60  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  -0.000000  0.000000  -25888123578384015555559424.000000  0.000000  0.000000  -0.000000

19  0.60  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -660367596885207401514401792.000000  0.000000  0.000000  -0.000000

19  0.60  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  0.000000  0.000000  -415532626387239843622027264.000000  0.000000  -0.000000  0.000000

19  0.60  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  -0.000000  -620466187939939726674362368.000000  0.000000  -0.000000  0.000000

19  0.70  0.00  0.00  400  -4.068802  -3.000000  7.243900  7.243900  -0.329407  -0.329407  0.953984  14.487800  -0.000000  -0.000000

19  0.70  0.10  0.00  400  -5.429053  1.000000  5.816799  5.816799  -0.102054  -0.102054  0.942695  11.633599  0.000000  -0.000000

19  0.70  0.20  0.00  400  -7.606880  17.000000  0.689940  0.689940  0.017399  0.017399  0.516866  1.379880  -0.000000  -0.000000

19  0.70  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  0.000000  -0.000000  -64229550621218632164704256.000000  0.000000  -0.000000  0.000000

19  0.70  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  0.000000  0.000000  -233879793493559154151784448.000000  0.000000  0.000000  0.000000

19  0.70  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -52367685733525405256646656.000000  0.000000  -0.000000  -0.000000

19  0.70  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -437972352635738571193450496.000000  0.000000  -0.000000  -0.000000

19  0.70  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -644763087109061428394328064.000000  0.000000  -0.000000  0.000000

19  0.70  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  -0.000000  0.000000  -369831908605422264639291392.000000  0.000000  0.000000  -0.000000

19  0.70  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -1061068911758536733605494784.000000  0.000000  -0.000000  -0.000000

19  0.70  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  -0.000000  -2103568351063551574313795584.000000  0.000000  0.000000  0.000000

19  0.80  0.00  0.00  400  -2.696938  -5.000000  7.465350  7.465350  0.053368  0.053368  0.955349  14.930699  -0.000000  -0.000000

19  0.80  0.10  0.00  400  -3.939388  15.000000  1.363917  1.363917  -0.050451  -0.050451  0.755606  2.727834  -0.000000  -0.000000

19  0.80  0.20  0.00  400  -7.600000  19.000000  0.000000  0.000000  -0.000000  0.000000  -105997513215545899466358784.000000  0.000000  -0.000000  -0.000000

19  0.80  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  0.000000  0.000000  -331986437411027857566597120.000000  0.000000  0.000000  0.000000

19  0.80  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -683410463905003559070990336.000000  0.000000  -0.000000  0.000000

19  0.80  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  0.000000  -0.000000  -272235362616076735531188224.000000  0.000000  0.000000  0.000000

19  0.80  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -534688464774337233426579456.000000  0.000000  0.000000  -0.000000

19  0.80  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -296964599874285565074472960.000000  0.000000  0.000000  0.000000

19  0.80  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  0.000000  0.000000  -1488573097200918786851471360.000000  0.000000  -0.000000  0.000000

19  0.80  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -2898600084320401273460359168.000000  0.000000  0.000000  0.000000

19  0.80  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  0.000000  -1296062401114625100029624320.000000  0.000000  -0.000000  -0.000000

19  0.90  0.00  0.00  400  -1.340822  -3.000000  7.170180  6.707592  -0.028794  -0.028794  0.953511  13.877772  -0.348427  0.000000

19  0.90  0.10  0.00  400  -3.800000  19.000000  0.000000  0.000000  -0.000000  0.000000  -32606930231887074372354048.000000  0.000000  0.000000  -0.000000

19  0.90  0.20  0.00  400  -7.600000  19.000000  0.000000  0.000000  -0.000000  0.000000  -182754508708040948072841216.000000  0.000000  0.000000  0.000000

19  0.90  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  0.000000  -0.000000  -112503907626909846525181952.000000  0.000000  0.000000  -0.000000

19  0.90  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  0.000000  0.000000  -333271940361815278888157184.000000  0.000000  0.000000  0.000000

19  0.90  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  0.000000  -512899998039579887325413376.000000  0.000000  0.000000  0.000000

19  0.90  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -96561882141866910350835712.000000  0.000000  -0.000000  -0.000000

19  0.90  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  -0.000000  -2046730336548681362228379648.000000  0.000000  -0.000000  0.000000

19  0.90  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  0.000000  -0.000000  -538515367190276946041765888.000000  0.000000  -0.000000  -0.000000

19  0.90  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  0.000000  -0.000000  -205143796521226451692814336.000000  0.000000  -0.000000  0.000000

19  0.90  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -1824396838135988124511109120.000000  0.000000  -0.000000  0.000000

19  1.00  0.00  0.00  400  -0.000000  12.585320  0.097734  0.065006  0.000000  -0.000000  -2.410613  0.162740  -0.032728  -0.000000

19  1.00  0.10  0.00  400  -3.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -78200269935952092511338496.000000  0.000000  -0.000000  -0.000000

19  1.00  0.20  0.00  400  -7.600000  19.000000  0.000000  0.000000  0.000000  -0.000000  -200066538411855276163465216.000000  0.000000  -0.000000  0.000000

19  1.00  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  0.000000  0.000000  -346819549988366563724492800.000000  0.000000  0.000000  -0.000000

19  1.00  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -320774153685298696559788032.000000  0.000000  0.000000  0.000000

19  1.00  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  0.000000  0.000000  -528879207010886505929375744.000000  0.000000  -0.000000  -0.000000

19  1.00  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -3231599745696583011660726272.000000  0.000000  -0.000000  0.000000

19  1.00  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  0.000000  -1047726917999572577448624128.000000  0.000000  0.000000  0.000000

19  1.00  0.80  0.00  400  -30.400000  19.000000  0.000000  0.000000  0.000000  -0.000000  -598326580477311574742138880.000000  0.000000  0.000000  0.000000

19  1.00  0.90  0.00  400  -34.200000  19.000000  0.000000  0.000000  0.000000  -0.000000  -835140000130670317436665856.000000  0.000000  -0.000000  0.000000

19  1.00  1.00  0.00  400  -38.000000  19.000000  0.000000  0.000000  0.000000  0.000000  -1850238616162938289276321792.000000  0.000000  -0.000000  0.000000

19  1.20  0.00  0.00  400  -0.000000  8.256980  0.000000  0.000000  0.000000  0.000000  -509630362166673664.000000  0.000000  -0.000000  0.000000

19  1.20  0.10  0.00  400  -3.800000  19.000000  0.000000  0.000000  0.000000  -0.000000  -132903721821804618441555968.000000  0.000000  0.000000  0.000000

19  1.20  0.20  0.00  400  -7.600000  19.000000  0.000000  0.000000  0.000000  -0.000000  -511963437213216102726762496.000000  0.000000  0.000000  -0.000000

19  1.20  0.30  0.00  400  -11.400000  19.000000  0.000000  0.000000  -0.000000  0.000000  -176595150555143218153914368.000000  0.000000  0.000000  -0.000000

19  1.20  0.40  0.00  400  -15.200000  19.000000  0.000000  0.000000  -0.000000  0.000000  -448586345405658810971848704.000000  0.000000  0.000000  0.000000

19  1.20  0.50  0.00  400  -19.000000  19.000000  0.000000  0.000000  -0.000000  -0.000000  -34057235043663017158901760.000000  0.000000  -0.000000  -0.000000

19  1.20  0.60  0.00  400  -22.800000  19.000000  0.000000  0.000000  0.000000  0.000000  -483043714156556351042486272.000000  0.000000  0.000000  0.000000

19  1.20  0.70  0.00  400  -26.600000  19.000000  0.000000  0.000000  0.000000  -0.000000  -1639766333397206398165581824.000000  0.000000  -0.000000  -0.000000

