Number_Plaquettes	coupling	chemical	theta	bond_dimension	Energy_GS	winding_number	eA	eB	Oflip	Oflipp	entropy
8	-10.0	0.0	0.0	160	-160.59782888609988	-7.999999999999996	2.0074385045383383	1.0145574988066628	15.940648180583668	1.0134954987187618e-17	[0.03453789610666905, -3.231572564057205, -9.808905498246334, -9.698222325810287, -9.815669052133227, -9.814519505211312, -9.646906016215475, -9.887510598012982, -3.29583686600433]
8	-5.0	0.0	0.0	160	-81.18299883782092	-8.000000000000007	2.0290329986136797	1.0563425353726785	15.77001007397556	8.19963358032491e-17	[0.10711017976479348, -3.0892825113570708, -9.741156302654066, -12.240473264871122, -9.79740079303742, -9.723541295649111, -12.264185816840639, -9.887510598013, -3.29583686600433]
8	-1.0	0.0	0.0	160	-20.66133121801775	-7.9999999999999964	2.3860367115097785	1.6894743927141527	13.0744925265223	-3.9865953404724337e-16	[0.6812132580067828, -1.5359842780775903, -8.603700093458174, -27.09022458123049, -40.81207309734475, -41.10653543933471, -29.662531794038948, -9.887510598012984, -3.29583686600433]
8	-0.5	0.0	0.0	160	-14.517147440634451	-8.000000000000004	2.5686746806722702	2.0196682927104814	11.470831872274282	-5.5300465515082774e-17	[0.8793602038443424, -0.7520528477667902, -7.732419597091499, -25.967289568238964, -50.42123290544183, -51.59736995550627, -29.662531794038944, -9.887510598012984, -3.2958368660043313]
8	-0.2	0.0	0.0	160	-11.209830021914124	-8.000000000000004	2.640050671671354	2.1729106073305293	10.612935761087225	-9.920257998274196e-16	[0.9645689599229783, -0.3965889580507774, -7.073279712483403, -24.72618885184278, -56.624681785472426, -58.61205351542198, -29.662531794038948, -9.887510598012975, -3.29583686600433]
8	-0.1	0.0	0.0	160	-10.160696490693944	-7.9999999999999885	2.655385312393962	2.211525596007239	10.373268001449134	1.1043140902483938e-15	[0.9853068983942406, -0.30929174592285896, -6.803120680419447, -24.328377038153853, -56.896754288973014, -59.083666337595275, -29.662531794038934, -9.887510598012987, -3.2958368660043313]
8	0.0	0.0	0.0	160	-9.13453141448193	-8.000000000000005	2.6671646944635694	2.2446555991868156	10.152928529085743	-6.649787985031443e-15	[1.0029457386018663, -0.2334849446714527, -6.48781564010957, -23.94708025197969, -55.21055004329935, -57.718444525293904, -29.662531794038973, -9.88751059801299, -3.2958368660043265]
8	0.1	0.0	0.0	160	-8.129601074297543	-8.00000000000001	2.675658791832923	2.2727870925650464	9.947876833858466	-3.9304298109501785e-15	[1.0180147283584082, -0.16579729960008774, -6.108363415774785, -23.29130486006418, -54.93224077225262, -57.92796738071129, -29.662531794038987, -9.887510598012982, -3.29583686600433]
8	0.2	0.0	0.0	160	-7.144586384021463	-8.000000000000007	2.680929431410841	2.2962271834789774	9.753915794164548	2.514855687612894e-15	[1.030990217554273, -0.10271576277096515, -5.633709119900946, -21.424383277409618, -45.92687345881384, -49.42130118298863, -29.66253179403897, -9.88751059801298, -3.29583686600433]
8	0.5	0.0	0.0	160	-4.302215138846834	-7.999999999999997	2.674113056252471	2.337671006851375	9.195252498839325	3.669444163309555e-15	[1.0611017296712935, 0.09932119532401026, -2.262962288185618, -19.917393448552385, -46.12704526048484, -52.403470815276144, -29.662531794038973, -9.88751059801298, -3.29583686600433]
